choice_numeric_unfiltered,trial_filter,stim_RT,stim_ACC,achoice,bchoice,cchoice,stim_choice,stim_choice_numeric,prob_1,prob_2,prob_3,best_choice,above_chance_diff,prob_switch_err,spont_switch_err,erratic_spont,explore_switch,error_NOS,perseverative
3,1,2316,0,0,0,1,C,3,NaN,NaN,NaN,0,NaN,0,0,0,0,0,0
2,1,1702,0,0,1,0,B,2,0,0,0,1,0,0,0,0,0,0,0
2,1,447,1,0,1,0,B,2,0,0,0,1,-0.333333333333333,0,0,0,0,0,0
1,1,368,1,1,0,0,A,1,0,0.333333333333333,0,0,0,0,0,0,0,0,0
1,1,303,1,1,0,0,A,1,0.25,0.25,0,1,-0.416666666666667,0,0,0,0,0,0
2,1,420,1,0,1,0,B,2,0.4,0.2,0,0,-0.266666666666667,0,0,0,0,0,0
3,1,421,0,0,0,1,C,3,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0,1,0,0,0,0
2,1,910,0,0,1,0,B,2,0.285714285714286,0.285714285714286,0,1,-0.0476190476190476,0,0,0,0,0,0
1,1,660,0,1,0,0,A,1,0.25,0.25,0,1,-0.0833333333333333,1,0,0,0,0,0
3,1,544,1,0,0,1,C,3,0.222222222222222,0.222222222222222,0,0,-0.111111111111111,0,0,0,0,0,0
1,1,436,1,1,0,0,A,1,0.2,0.2,0.1,1,-0.133333333333333,0,0,0,0,0,0
1,1,310,1,1,0,0,A,1,0.3,0.2,0.1,1,-0.0333333333333333,0,0,0,0,0,0
3,1,383,0,0,0,1,C,3,0.4,0.2,0.1,0,0.0666666666666667,0,1,1,0,0,0
2,1,1159,0,0,1,0,B,2,0.4,0.1,0.1,0,0.4,0,0,0,0,0,0
2,1,982,0,0,1,0,B,2,0.3,0.1,0.1,0,-0.366666666666667,0,0,0,0,1,0
3,1,396,0,0,0,1,C,3,0.2,0.1,0.1,0,-0.133333333333333,0,0,0,0,0,0
2,1,382,1,0,1,0,B,2,0.2,0,0.1,0,-0.133333333333333,0,0,0,0,0,0
1,1,597,1,1,0,0,A,1,0.2,0.1,0.1,1,-0.133333333333333,0,0,0,0,0,0
2,1,368,1,0,1,0,B,2,0.3,0.1,0.1,0,-0.366666666666667,0,0,0,0,0,0
1,1,428,1,1,0,0,A,1,0.3,0.2,0.1,1,-0.0333333333333333,0,0,0,0,0,0
3,1,899,1,0,0,1,C,3,0.4,0.2,0,0,0.0666666666666667,0,0,0,0,0,0
2,1,469,0,0,1,0,B,2,0.3,0.2,0.1,0,0.3,0,1,0,0,0,0
3,1,588,0,0,0,1,C,3,0.2,0.2,0.1,0,-0.133333333333333,0,0,0,0,0,0
2,1,354,0,0,1,0,B,2,0.2,0.2,0.1,1,0.2,0,0,0,0,0,0
