choice_numeric_unfiltered,trial_filter,stim_RT,stim_ACC,achoice,bchoice,cchoice,stim_choice,stim_choice_numeric,prob_1,prob_2,prob_3,best_choice,above_chance_diff,prob_switch_err,spont_switch_err,erratic_spont,explore_switch,error_NOS,perseverative
1,1,1241,1,1,0,0,A,1,NaN,NaN,NaN,0,NaN,0,0,0,0,0,0
1,1,392,0,1,0,0,A,1,1,0,0,1,1,0,0,0,0,1,0
1,1,380,1,1,0,0,A,1,0.5,0,0,1,0.166666666666667,0,0,0,0,0,0
1,1,365,1,1,0,0,A,1,0.666666666666667,0,0,1,0.333333333333333,0,0,0,0,0,0
1,1,352,1,1,0,0,A,1,0.75,0,0,1,0.0833333333333334,0,0,0,0,0,0
2,1,389,1,0,1,0,B,2,0.8,0,0,0,0.133333333333333,0,0,0,0,0,0
3,1,341,0,0,0,1,C,3,0.666666666666667,0.166666666666667,0,0,0.666666666666667,0,1,0,0,0,0
2,1,375,1,0,1,0,B,2,0.571428571428571,0.142857142857143,0,0,0.238095238095238,0,0,0,0,0,0
2,1,370,1,0,1,0,B,2,0.5,0.25,0,0,0.166666666666667,0,0,0,0,0,0
1,1,402,1,1,0,0,A,1,0.444444444444444,0.333333333333333,0,1,0.111111111111111,0,0,0,0,0,0
1,1,372,1,1,0,0,A,1,0.5,0.3,0,1,0.166666666666667,0,0,0,0,0,0
1,1,407,1,1,0,0,A,1,0.5,0.3,0,1,0.166666666666667,0,0,0,0,0,0
3,1,410,0,0,0,1,C,3,0.6,0.3,0,0,0.266666666666667,0,1,1,0,0,0
2,1,329,0,0,1,0,B,2,0.5,0.3,0,0,0.5,0,0,0,0,0,0
2,1,658,0,0,1,0,B,2,0.4,0.3,0,0,-0.266666666666667,0,0,0,0,1,0
3,1,397,0,0,0,1,C,3,0.3,0.3,0,0,-0.0333333333333333,0,0,0,0,0,0
2,1,353,1,0,1,0,B,2,0.3,0.2,0,0,-0.0333333333333333,0,0,0,0,0,0
1,1,396,1,1,0,0,A,1,0.3,0.3,0,1,-0.0333333333333333,0,0,0,0,0,0
2,1,381,1,0,1,0,B,2,0.4,0.2,0,0,-0.266666666666667,0,0,0,0,0,0
1,1,391,1,1,0,0,A,1,0.4,0.2,0,1,0.0666666666666667,0,0,0,0,0,0
3,1,393,1,0,0,1,C,3,0.4,0.2,0,0,0.0666666666666667,0,0,0,0,0,0
2,1,386,0,0,1,0,B,2,0.3,0.2,0.1,0,0.3,0,1,0,0,0,0
3,1,383,1,0,0,1,C,3,0.2,0.2,0.1,0,-0.133333333333333,0,0,0,0,0,0
3,1,330,0,0,0,1,C,3,0.2,0.2,0.2,1,0.2,0,0,0,0,1,0
1,1,389,1,1,0,0,A,1,0.2,0.2,0.2,1,-0.466666666666667,0,0,0,0,0,0
1,1,367,1,1,0,0,A,1,0.3,0.2,0.2,1,-0.0333333333333333,0,0,0,0,0,0
1,1,308,1,1,0,0,A,1,0.4,0.2,0.2,1,0.0666666666666667,0,0,0,0,0,0
2,1,394,1,0,1,0,B,2,0.5,0.1,0.2,0,0.166666666666667,0,0,0,0,0,0
1,1,355,1,1,0,0,A,1,0.4,0.2,0.2,1,0.0666666666666667,0,0,0,0,0,0
3,1,348,1,0,0,1,C,3,0.5,0.1,0.2,0,0.166666666666667,0,0,0,0,0,0
3,1,366,1,0,0,1,C,3,0.4,0.1,0.3,0,0.0666666666666667,0,0,0,0,0,0
1,1,497,0,1,0,0,A,1,0.4,0.1,0.3,1,0.4,0,1,0,1,0,0
2,1,368,0,0,1,0,B,2,0.4,0.1,0.3,0,0.0666666666666667,1,0,0,0,0,0
3,1,284,0,0,0,1,C,3,0.4,0.1,0.2,0,0.0666666666666667,0,0,0,0,0,0
3,1,314,0,0,0,1,C,3,0.4,0.1,0.2,0,0.4,0,0,0,0,1,0
