choice_numeric_unfiltered,trial_filter,stim_RT,stim_ACC,achoice,bchoice,cchoice,stim_choice,stim_choice_numeric,prob_1,prob_2,prob_3,best_choice,above_chance_diff,prob_switch_err,spont_switch_err,erratic_spont,explore_switch,error_NOS,perseverative
2,1,1598,0,0,1,0,B,2,NaN,NaN,NaN,0,NaN,0,0,0,0,0,0
3,1,554,0,0,0,1,C,3,0,0,0,1,0,0,0,0,0,0,0
2,1,365,0,0,1,0,B,2,0,0,0,1,-0.333333333333333,1,0,0,0,0,0
2,1,459,1,0,1,0,B,2,0,0,0,1,-0.333333333333333,0,0,0,0,0,0
1,1,491,1,1,0,0,A,1,0,0.25,0,0,-0.416666666666667,0,0,0,0,0,0
2,1,633,1,0,1,0,B,2,0.2,0.2,0,1,-0.466666666666667,0,0,0,0,0,0
1,1,461,0,1,0,0,A,1,0.166666666666667,0.333333333333333,0,0,0.333333333333333,0,1,1,0,0,0
2,1,305,1,0,1,0,B,2,0.142857142857143,0.285714285714286,0,1,-0.0476190476190476,0,0,0,0,0,0
2,1,480,0,0,1,0,B,2,0.125,0.375,0,1,0.0416666666666667,0,0,0,0,1,0
3,1,347,0,0,0,1,C,3,0.111111111111111,0.333333333333333,0,0,0,1,0,0,0,0,0
2,1,341,1,0,1,0,B,2,0.1,0.3,0,1,-0.0333333333333333,0,0,0,0,0,0
1,1,332,1,1,0,0,A,1,0.1,0.4,0,0,0.0666666666666667,0,0,0,0,0,0
3,1,307,0,0,0,1,C,3,0.2,0.4,0,0,0.0666666666666667,0,1,0,0,0,0
3,1,205,0,0,0,1,C,3,0.2,0.4,0,0,0.4,0,0,0,0,1,0
1,1,437,0,1,0,0,A,1,0.2,0.3,0,0,-0.366666666666667,0,0,0,0,0,0
3,1,198,1,0,0,1,C,3,0.1,0.3,0,0,-0.0333333333333333,0,0,0,0,0,0
3,1,279,0,0,0,1,C,3,0.1,0.2,0.1,0,-0.133333333333333,0,0,0,0,1,0
2,1,45,0,0,1,0,B,2,0.1,0.2,0.1,1,-0.133333333333333,0,0,0,0,0,0
1,1,312,1,1,0,0,A,1,0.1,0.1,0.1,1,-0.566666666666667,0,0,0,0,0,0
2,1,225,1,0,1,0,B,2,0.2,0.1,0.1,0,-0.133333333333333,0,0,0,0,0,0
3,1,206,1,0,0,1,C,3,0.2,0.2,0.1,0,-0.133333333333333,0,0,0,0,0,0
2,1,214,0,0,1,0,B,2,0.2,0.1,0.2,0,0.2,0,1,0,0,0,0
3,1,196,0,0,0,1,C,3,0.1,0.1,0.2,1,-0.133333333333333,0,0,0,0,0,0
2,1,335,0,0,1,0,B,2,0.1,0.1,0.2,0,0.2,1,0,0,0,0,0
3,1,247,1,0,0,1,C,3,0.1,0.1,0.2,1,-0.466666666666667,0,0,0,0,0,0
1,1,293,1,1,0,0,A,1,0.1,0.1,0.3,0,-0.0333333333333333,0,0,0,0,0,0
1,1,211,1,1,0,0,A,1,0.2,0.1,0.2,1,-0.133333333333333,0,0,0,0,0,0
