choice_numeric_unfiltered,trial_filter,stim_RT,stim_ACC,achoice,bchoice,cchoice,stim_choice,stim_choice_numeric,prob_1,prob_2,prob_3,best_choice,above_chance_diff,prob_switch_err,spont_switch_err,erratic_spont,explore_switch,error_NOS,perseverative
2,1,4382,0,0,1,0,B,2,NaN,NaN,NaN,0,NaN,0,0,0,0,0,0
3,1,757,0,0,0,1,C,3,0,0,0,1,0,0,0,0,0,0,0
1,1,531,0,1,0,0,A,1,0,0,0,1,-0.333333333333333,1,0,0,0,0,0
2,1,697,0,0,1,0,B,2,0,0,0,1,-0.333333333333333,1,0,0,0,0,0
3,1,904,1,0,0,1,C,3,0,0,0,1,-0.666666666666667,0,0,0,0,0,0
2,1,510,1,0,1,0,B,2,0,0,0.2,0,-0.466666666666667,0,0,0,0,0,0
3,1,458,0,0,0,1,C,3,0,0.166666666666667,0.166666666666667,1,0.166666666666667,0,1,0,0,0,0
2,1,467,1,0,1,0,B,2,0,0.142857142857143,0.142857142857143,1,-0.19047619047619,0,0,0,0,0,0
2,1,545,1,0,1,0,B,2,0,0.25,0.125,1,-0.0833333333333333,0,0,0,0,0,0
1,1,402,1,1,0,0,A,1,0,0.333333333333333,0.111111111111111,0,0,0,0,0,0,0,0
1,1,356,1,1,0,0,A,1,0.1,0.3,0.1,0,-0.0333333333333333,0,0,0,0,0,0
1,1,356,1,1,0,0,A,1,0.2,0.3,0.1,0,-0.0333333333333333,0,0,0,0,0,0
3,1,685,0,0,0,1,C,3,0.3,0.3,0.1,0,-0.0333333333333333,0,1,0,0,0,0
2,1,416,0,0,1,0,B,2,0.3,0.3,0.1,1,0.3,0,0,0,0,0,0
2,1,318,1,0,1,0,B,2,0.3,0.3,0.1,1,-0.366666666666667,0,0,0,0,0,0
2,1,377,1,0,1,0,B,2,0.3,0.4,0,1,0.0666666666666667,0,0,0,0,0,0
3,1,445,1,0,0,1,C,3,0.3,0.4,0,0,0.0666666666666667,0,0,0,0,0,0
1,1,388,1,1,0,0,A,1,0.3,0.4,0.1,0,0.0666666666666667,0,0,0,0,0,0
2,1,373,1,0,1,0,B,2,0.4,0.3,0.1,0,-0.266666666666667,0,0,0,0,0,0
1,1,282,1,1,0,0,A,1,0.4,0.3,0.1,1,0.0666666666666667,0,0,0,0,0,0
3,1,405,1,0,0,1,C,3,0.4,0.3,0.1,0,0.0666666666666667,0,0,0,0,0,0
2,1,367,0,0,1,0,B,2,0.3,0.3,0.2,1,0.3,0,1,0,0,0,0
3,1,364,1,0,0,1,C,3,0.2,0.3,0.2,0,-0.0333333333333333,0,0,0,0,0,0
3,1,362,0,0,0,1,C,3,0.2,0.3,0.3,1,0.3,0,0,0,0,1,0
1,1,375,1,1,0,0,A,1,0.2,0.3,0.3,0,-0.366666666666667,0,0,0,0,0,0
1,1,563,1,1,0,0,A,1,0.3,0.2,0.3,1,-0.0333333333333333,0,0,0,0,0,0
1,1,329,1,1,0,0,A,1,0.4,0.1,0.3,1,0.0666666666666667,0,0,0,0,0,0
2,1,370,1,0,1,0,B,2,0.5,0.1,0.2,0,0.166666666666667,0,0,0,0,0,0
1,1,334,1,1,0,0,A,1,0.4,0.2,0.2,1,0.0666666666666667,0,0,0,0,0,0
3,1,334,1,0,0,1,C,3,0.5,0.1,0.2,0,0.166666666666667,0,0,0,0,0,0
3,1,770,1,0,0,1,C,3,0.4,0.1,0.3,0,0.0666666666666667,0,0,0,0,0,0
1,1,391,0,1,0,0,A,1,0.4,0.1,0.3,1,0.4,0,1,0,1,0,0
2,1,392,0,0,1,0,B,2,0.4,0.1,0.3,0,0.0666666666666667,1,0,0,0,0,0
3,1,455,0,0,0,1,C,3,0.4,0.1,0.2,0,0.0666666666666667,0,0,0,0,0,0
3,1,314,0,0,0,1,C,3,0.4,0.1,0.2,0,0.4,0,0,0,0,1,0
1,1,599,0,1,0,0,A,1,0.3,0.1,0.2,1,0.3,0,0,0,0,0,0
1,1,452,0,1,0,0,A,1,0.2,0.1,0.2,1,0.2,0,0,0,0,1,0
3,1,648,0,0,0,1,C,3,0.1,0.1,0.2,1,0.2,1,0,0,0,0,0
2,1,438,0,0,1,0,B,2,0.1,0,0.2,0,-0.133333333333333,1,0,0,0,0,0
2,1,429,0,0,1,0,B,2,0,0,0.2,0,0.2,0,0,0,0,1,0
2,1,382,0,0,1,0,B,2,0,0,0.1,0,0.1,0,0,0,0,1,0
2,1,393,0,0,1,0,B,2,0,0,0,1,-0.333333333333333,0,0,0,0,1,0
1,1,468,0,1,0,0,A,1,0,0,0,1,0,1,0,0,0,0,0
2,1,505,0,0,1,0,B,2,0,0,0,1,0,1,0,0,0,0,0
3,1,509,1,0,0,1,C,3,0,0,0,1,-0.666666666666667,0,0,0,0,0,0
2,1,1094,1,0,1,0,B,2,0,0,0.1,0,-0.233333333333333,0,0,0,0,0,0
1,1,565,0,1,0,0,A,1,0,0.1,0.1,0,0.1,0,1,0,0,0,0
1,1,454,0,1,0,0,A,1,0,0.1,0.1,0,-0.233333333333333,0,0,0,0,1,0
2,1,571,1,0,1,0,B,2,0,0.1,0.1,1,-0.233333333333333,0,0,0,0,0,0
1,1,544,0,1,0,0,A,1,0,0.2,0.1,0,0.2,0,1,1,0,0,0
3,1,405,1,0,0,1,C,3,0,0.2,0.1,0,-0.133333333333333,0,0,0,0,0,0
3,1,467,0,0,0,1,C,3,0,0.2,0.2,1,0.2,0,0,0,0,1,0
3,1,430,0,0,0,1,C,3,0,0.2,0.2,1,0.2,0,0,0,0,1,0
2,1,417,0,0,1,0,B,2,0,0.2,0.2,1,0.2,1,0,0,0,0,0
3,1,321,0,0,0,1,C,3,0,0.2,0.2,1,0.2,1,0,0,0,0,0
1,1,345,0,1,0,0,A,1,0,0.2,0.1,0,-0.133333333333333,1,0,0,0,0,0
2,1,488,0,0,1,0,B,2,0,0.1,0.1,1,0.1,0,0,0,0,0,0
3,1,716,0,0,0,1,C,3,0,0.1,0.1,1,0.1,1,0,0,0,0,0
1,1,284,0,1,0,0,A,1,0,0.1,0.1,0,0.1,1,0,0,0,0,0
2,1,416,0,0,1,0,B,2,0,0,0.1,0,0.1,0,0,0,0,0,0
2,1,505,1,0,1,0,B,2,0,0,0.1,0,-0.566666666666667,0,0,0,0,0,0
3,1,477,1,0,0,1,C,3,0,0.1,0,0,-0.566666666666667,0,0,0,0,0,0
3,1,826,1,0,0,1,C,3,0,0.1,0.1,1,-0.233333333333333,0,0,0,0,0,0
3,1,553,1,0,0,1,C,3,0,0.1,0.2,1,-0.133333333333333,0,0,0,0,0,0
2,1,520,0,0,1,0,B,2,0,0.1,0.3,0,-0.0333333333333333,0,1,1,0,0,0
2,1,437,1,0,1,0,B,2,0,0.1,0.3,0,-0.0333333333333333,0,0,0,0,0,0
2,1,654,1,0,1,0,B,2,0,0.2,0.3,0,-0.0333333333333333,0,0,0,0,0,0
2,1,584,1,0,1,0,B,2,0,0.3,0.3,1,-0.0333333333333333,0,0,0,0,0,0
3,1,545,1,0,0,1,C,3,0,0.4,0.3,0,0.0666666666666667,0,0,0,0,0,0
1,1,439,1,1,0,0,A,1,0,0.4,0.4,0,0.0666666666666667,0,0,0,0,0,0
1,1,584,1,1,0,0,A,1,0.1,0.4,0.4,0,0.0666666666666667,0,0,0,0,0,0
2,1,607,0,0,1,0,B,2,0.2,0.3,0.4,0,0.4,0,1,0,0,0,0
1,1,396,0,1,0,0,A,1,0.2,0.3,0.3,0,-0.0333333333333333,0,0,0,0,0,0
2,1,556,1,0,1,0,B,2,0.2,0.3,0.2,1,-0.0333333333333333,0,0,0,0,0,0
2,1,560,1,0,1,0,B,2,0.2,0.4,0.1,1,0.0666666666666667,0,0,0,0,0,0
2,1,850,1,0,1,0,B,2,0.2,0.5,0.1,1,0.166666666666667,0,0,0,0,0,0
1,1,446,1,1,0,0,A,1,0.2,0.5,0.1,0,0.166666666666667,0,0,0,0,0,0
2,1,454,1,0,1,0,B,2,0.3,0.4,0.1,1,0.0666666666666667,0,0,0,0,0,0
1,1,556,1,1,0,0,A,1,0.3,0.4,0.1,0,0.0666666666666667,0,0,0,0,0,0
3,1,388,1,0,0,1,C,3,0.4,0.4,0,0,0.0666666666666667,0,0,0,0,0,0
2,1,506,0,0,1,0,B,2,0.3,0.4,0.1,1,0.4,0,1,0,1,0,0
1,1,427,1,1,0,0,A,1,0.2,0.4,0.1,0,0.0666666666666667,0,0,0,0,0,0
2,1,483,0,0,1,0,B,2,0.3,0.4,0.1,1,0.4,0,1,0,1,0,0
3,1,450,0,0,0,1,C,3,0.3,0.4,0.1,0,0.4,1,0,0,0,0,0
3,1,473,1,0,0,1,C,3,0.3,0.3,0.1,0,-0.366666666666667,0,0,0,0,0,0
1,1,477,1,1,0,0,A,1,0.3,0.2,0.2,1,-0.0333333333333333,0,0,0,0,0,0
3,1,549,1,0,0,1,C,3,0.4,0.1,0.2,0,0.0666666666666667,0,0,0,0,0,0
3,1,472,1,0,0,1,C,3,0.3,0.1,0.3,1,-0.0333333333333333,0,0,0,0,0,0
2,1,446,1,0,1,0,B,2,0.3,0,0.4,0,0.0666666666666667,0,0,0,0,0,0
3,1,548,1,0,0,1,C,3,0.2,0.1,0.4,1,-0.266666666666667,0,0,0,0,0,0
1,1,472,0,1,0,0,A,1,0.2,0.1,0.4,0,0.4,0,1,1,0,0,0
1,1,402,0,1,0,0,A,1,0.2,0.1,0.4,0,0.4,0,0,0,0,1,0
3,1,630,0,0,0,1,C,3,0.1,0.1,0.4,1,0.0666666666666667,0,0,0,0,0,0
3,1,465,0,0,0,1,C,3,0.1,0.1,0.4,1,0.4,0,0,0,0,1,0
