choice_numeric_unfiltered,trial_filter,stim_RT,stim_ACC,achoice,bchoice,cchoice,stim_choice,stim_choice_numeric,prob_1,prob_2,prob_3,best_choice,above_chance_diff,prob_switch_err,spont_switch_err,erratic_spont,explore_switch,error_NOS,perseverative
2,1,1473,0,0,1,0,B,2,NaN,NaN,NaN,0,NaN,0,0,0,0,0,0
3,1,129,0,0,0,1,C,3,0,0,0,1,0,0,0,0,0,0,0
3,1,508,1,0,0,1,C,3,0,0,0,1,-0.333333333333333,0,0,0,0,0,0
1,1,456,1,1,0,0,A,1,0,0,0.333333333333333,0,0,0,0,0,0,0,0
1,1,692,1,1,0,0,A,1,0.25,0,0.25,1,-0.416666666666667,0,0,0,0,0,0
2,1,445,1,0,1,0,B,2,0.4,0,0.2,0,-0.266666666666667,0,0,0,0,0,0
3,1,470,0,0,0,1,C,3,0.333333333333333,0.166666666666667,0.166666666666667,0,0.333333333333333,0,1,0,0,0,0
2,1,452,1,0,1,0,B,2,0.285714285714286,0.142857142857143,0.142857142857143,0,-0.0476190476190476,0,0,0,0,0,0
2,1,417,1,0,1,0,B,2,0.25,0.25,0.125,1,-0.0833333333333333,0,0,0,0,0,0
1,1,404,1,1,0,0,A,1,0.222222222222222,0.333333333333333,0.111111111111111,0,0,0,0,0,0,0,0
1,1,404,1,1,0,0,A,1,0.3,0.3,0.1,1,-0.0333333333333333,0,0,0,0,0,0
1,1,410,1,1,0,0,A,1,0.4,0.3,0.1,1,0.0666666666666667,0,0,0,0,0,0
3,1,532,0,0,0,1,C,3,0.5,0.3,0.1,0,0.166666666666667,0,1,1,0,0,0
2,1,368,0,0,1,0,B,2,0.5,0.3,0,0,0.5,0,0,0,0,0,0
2,1,664,0,0,1,0,B,2,0.4,0.3,0,0,-0.266666666666667,0,0,0,0,1,0
3,1,762,0,0,0,1,C,3,0.3,0.3,0,0,-0.0333333333333333,0,0,0,0,0,0
2,1,1298,1,0,1,0,B,2,0.3,0.2,0,0,-0.0333333333333333,0,0,0,0,0,0
