choice_numeric_unfiltered,trial_filter,stim_RT,stim_ACC,achoice,bchoice,cchoice,stim_choice,stim_choice_numeric,prob_1,prob_2,prob_3,best_choice,above_chance_diff,prob_switch_err,spont_switch_err,erratic_spont,explore_switch,error_NOS,perseverative
2,1,1966,0,0,1,0,B,2,NaN,NaN,NaN,0,NaN,0,0,0,0,0,0
3,1,4432,0,0,0,1,C,3,0,0,0,1,0,0,0,0,0,0,0
3,1,3073,1,0,0,1,C,3,0,0,0,1,-0.333333333333333,0,0,0,0,0,0
1,1,991,1,1,0,0,A,1,0,0,0.333333333333333,0,0,0,0,0,0,0,0
1,1,754,1,1,0,0,A,1,0.25,0,0.25,1,-0.416666666666667,0,0,0,0,0,0
2,1,689,1,0,1,0,B,2,0.4,0,0.2,0,-0.266666666666667,0,0,0,0,0,0
3,1,645,0,0,0,1,C,3,0.333333333333333,0.166666666666667,0.166666666666667,0,0.333333333333333,0,1,0,0,0,0
2,1,1122,1,0,1,0,B,2,0.285714285714286,0.142857142857143,0.142857142857143,0,-0.0476190476190476,0,0,0,0,0,0
2,1,569,1,0,1,0,B,2,0.25,0.25,0.125,1,-0.0833333333333333,0,0,0,0,0,0
1,1,780,1,1,0,0,A,1,0.222222222222222,0.333333333333333,0.111111111111111,0,0,0,0,0,0,0,0
1,1,619,1,1,0,0,A,1,0.3,0.3,0.1,1,-0.0333333333333333,0,0,0,0,0,0
1,1,537,1,1,0,0,A,1,0.4,0.3,0.1,1,0.0666666666666667,0,0,0,0,0,0
3,1,698,0,0,0,1,C,3,0.5,0.3,0.1,0,0.166666666666667,0,1,1,0,0,0
2,1,578,0,0,1,0,B,2,0.5,0.3,0,0,0.5,0,0,0,0,0,0
2,1,807,1,0,1,0,B,2,0.4,0.3,0,0,-0.266666666666667,0,0,0,0,0,0
2,1,592,1,0,1,0,B,2,0.3,0.4,0,1,0.0666666666666667,0,0,0,0,0,0
3,1,479,1,0,0,1,C,3,0.3,0.4,0,0,0.0666666666666667,0,0,0,0,0,0
1,1,365,1,1,0,0,A,1,0.3,0.4,0.1,0,0.0666666666666667,0,0,0,0,0,0
2,1,390,1,0,1,0,B,2,0.4,0.3,0.1,0,-0.266666666666667,0,0,0,0,0,0
1,1,385,1,1,0,0,A,1,0.4,0.3,0.1,1,0.0666666666666667,0,0,0,0,0,0
3,1,500,1,0,0,1,C,3,0.4,0.3,0.1,0,0.0666666666666667,0,0,0,0,0,0
2,1,396,0,0,1,0,B,2,0.3,0.3,0.2,1,0.3,0,1,0,0,0,0
3,1,501,1,0,0,1,C,3,0.2,0.3,0.2,0,-0.0333333333333333,0,0,0,0,0,0
3,1,366,0,0,0,1,C,3,0.2,0.3,0.3,1,0.3,0,0,0,0,1,0
1,1,390,1,1,0,0,A,1,0.2,0.3,0.3,0,-0.366666666666667,0,0,0,0,0,0
1,1,356,1,1,0,0,A,1,0.3,0.2,0.3,1,-0.0333333333333333,0,0,0,0,0,0
1,1,390,1,1,0,0,A,1,0.4,0.1,0.3,1,0.0666666666666667,0,0,0,0,0,0
2,1,407,1,0,1,0,B,2,0.5,0.1,0.2,0,0.166666666666667,0,0,0,0,0,0
1,1,414,1,1,0,0,A,1,0.4,0.2,0.2,1,0.0666666666666667,0,0,0,0,0,0
3,1,357,1,0,0,1,C,3,0.5,0.1,0.2,0,0.166666666666667,0,0,0,0,0,0
3,1,474,1,0,0,1,C,3,0.4,0.1,0.3,0,0.0666666666666667,0,0,0,0,0,0
1,1,373,0,1,0,0,A,1,0.4,0.1,0.3,1,0.4,0,1,0,1,0,0
2,1,627,0,0,1,0,B,2,0.4,0.1,0.3,0,0.0666666666666667,1,0,0,0,0,0
3,1,542,0,0,0,1,C,3,0.4,0.1,0.2,0,0.0666666666666667,0,0,0,0,0,0
3,1,860,0,0,0,1,C,3,0.4,0.1,0.2,0,0.4,0,0,0,0,1,0
3,1,538,0,0,0,1,C,3,0.3,0.1,0.2,0,0.3,0,0,0,0,1,0
1,1,893,0,1,0,0,A,1,0.2,0.1,0.2,1,0.2,0,0,0,0,0,0
3,1,879,0,0,0,1,C,3,0.1,0.1,0.2,1,0.2,1,0,0,0,0,0
1,1,1531,0,1,0,0,A,1,0.1,0,0.2,0,-0.133333333333333,1,0,0,0,0,0
2,1,1198,0,0,1,0,B,2,0,0,0.2,0,0.2,0,0,0,0,0,0
1,1,926,0,1,0,0,A,1,0,0,0.1,0,0.1,0,0,0,0,0,0
1,1,1087,1,1,0,0,A,1,0,0,0,1,-0.333333333333333,0,0,0,0,0,0
3,1,643,0,0,0,1,C,3,0.1,0,0,0,0.1,0,1,1,0,0,0
1,1,513,0,1,0,0,A,1,0.1,0,0,1,0.1,0,0,0,0,0,0
3,1,712,1,0,0,1,C,3,0.1,0,0,0,-0.566666666666667,0,0,0,0,0,0
2,1,576,1,0,1,0,B,2,0.1,0,0.1,0,-0.233333333333333,0,0,0,0,0,0
1,1,803,0,1,0,0,A,1,0.1,0.1,0.1,1,0.1,0,1,0,0,0,0
1,1,714,0,1,0,0,A,1,0.1,0.1,0.1,1,-0.233333333333333,0,0,0,0,1,0
2,1,706,1,0,1,0,B,2,0.1,0.1,0.1,1,-0.233333333333333,0,0,0,0,0,0
1,1,369,0,1,0,0,A,1,0.1,0.2,0.1,0,0.2,0,1,1,0,0,0
3,1,453,1,0,0,1,C,3,0.1,0.2,0.1,0,-0.133333333333333,0,0,0,0,0,0
3,1,553,0,0,0,1,C,3,0.1,0.2,0.2,1,0.2,0,0,0,0,1,0
3,1,511,0,0,0,1,C,3,0,0.2,0.2,1,0.2,0,0,0,0,1,0
2,1,604,0,0,1,0,B,2,0,0.2,0.2,1,0.2,1,0,0,0,0,0
3,1,631,0,0,0,1,C,3,0,0.2,0.2,1,0.2,1,0,0,0,0,0
1,1,988,0,1,0,0,A,1,0,0.2,0.1,0,-0.133333333333333,1,0,0,0,0,0
3,1,618,0,0,0,1,C,3,0,0.1,0.1,1,0.1,0,0,0,0,0,0
2,1,1252,0,0,1,0,B,2,0,0.1,0.1,1,0.1,1,0,0,0,0,0
3,1,495,0,0,0,1,C,3,0,0.1,0.1,1,0.1,1,0,0,0,0,0
1,1,611,0,1,0,0,A,1,0,0,0.1,0,0.1,1,0,0,0,0,0
1,1,861,1,1,0,0,A,1,0,0,0.1,0,-0.566666666666667,0,0,0,0,0,0
2,1,512,1,0,1,0,B,2,0.1,0,0,0,-0.566666666666667,0,0,0,0,0,0
