choice_numeric_unfiltered,trial_filter,stim_RT,stim_ACC,achoice,bchoice,cchoice,stim_choice,stim_choice_numeric,prob_1,prob_2,prob_3,best_choice,above_chance_diff,prob_switch_err,spont_switch_err,erratic_spont,explore_switch,error_NOS,perseverative
1,1,4055,1,1,0,0,A,1,NaN,NaN,NaN,0,NaN,0,0,0,0,0,0
1,1,1020,0,1,0,0,A,1,1,0,0,1,1,0,0,0,0,1,0
1,1,456,0,1,0,0,A,1,0.5,0,0,1,0.166666666666667,0,0,0,0,1,0
2,1,1231,0,0,1,0,B,2,0.333333333333333,0,0,0,0,1,0,0,0,0,0
3,1,910,1,0,0,1,C,3,0.25,0,0,0,-0.416666666666667,0,0,0,0,0,0
3,1,1523,1,0,0,1,C,3,0.2,0,0.2,1,-0.466666666666667,0,0,0,0,0,0
3,1,593,0,0,0,1,C,3,0.166666666666667,0,0.333333333333333,1,0.333333333333333,0,0,0,0,1,0
1,1,1232,1,1,0,0,A,1,0.142857142857143,0,0.285714285714286,0,-0.0476190476190476,0,0,0,0,0,0
2,1,2020,0,0,1,0,B,2,0.25,0,0.25,0,-0.0833333333333333,0,1,0,0,0,0
3,1,634,1,0,0,1,C,3,0.222222222222222,0,0.222222222222222,1,-0.111111111111111,0,0,0,0,0,0
1,1,648,1,1,0,0,A,1,0.2,0,0.3,0,-0.0333333333333333,0,0,0,0,0,0
1,1,441,1,1,0,0,A,1,0.2,0,0.3,0,-0.0333333333333333,0,0,0,0,0,0
3,1,527,0,0,0,1,C,3,0.3,0,0.3,1,-0.0333333333333333,0,1,0,0,0,0
2,1,681,0,0,1,0,B,2,0.3,0,0.3,0,0.3,1,0,0,0,0,0
3,1,724,0,0,0,1,C,3,0.3,0,0.3,1,-0.366666666666667,0,0,0,0,0,0
3,1,680,1,0,0,1,C,3,0.3,0,0.2,0,-0.0333333333333333,0,0,0,0,0,0
3,1,752,1,0,0,1,C,3,0.3,0,0.2,0,-0.0333333333333333,0,0,0,0,0,0
1,1,492,1,1,0,0,A,1,0.3,0,0.3,1,-0.0333333333333333,0,0,0,0,0,0
2,1,621,1,0,1,0,B,2,0.3,0,0.3,0,-0.366666666666667,0,0,0,0,0,0
1,1,424,1,1,0,0,A,1,0.3,0.1,0.3,1,-0.0333333333333333,0,0,0,0,0,0
3,1,1585,1,0,0,1,C,3,0.4,0.1,0.2,0,0.0666666666666667,0,0,0,0,0,0
2,1,591,0,0,1,0,B,2,0.3,0.1,0.3,0,0.3,0,1,0,0,0,0
3,1,716,1,0,0,1,C,3,0.2,0.1,0.3,1,-0.0333333333333333,0,0,0,0,0,0
3,1,592,0,0,0,1,C,3,0.2,0.1,0.4,1,0.4,0,0,0,0,1,0
1,1,379,1,1,0,0,A,1,0.2,0.1,0.4,0,-0.266666666666667,0,0,0,0,0,0
1,1,598,1,1,0,0,A,1,0.3,0.1,0.4,0,0.0666666666666667,0,0,0,0,0,0
1,1,303,1,1,0,0,A,1,0.4,0.1,0.3,1,0.0666666666666667,0,0,0,0,0,0
2,1,368,0,0,1,0,B,2,0.5,0.1,0.2,0,0.166666666666667,0,1,1,0,0,0
2,1,509,1,0,1,0,B,2,0.4,0.1,0.2,0,0.0666666666666667,0,0,0,0,0,0
3,1,570,1,0,0,1,C,3,0.4,0.1,0.2,0,0.0666666666666667,0,0,0,0,0,0
3,1,476,1,0,0,1,C,3,0.3,0.1,0.3,1,-0.0333333333333333,0,0,0,0,0,0
1,1,531,0,1,0,0,A,1,0.3,0.1,0.3,1,0.3,0,1,1,0,0,0
2,1,547,0,0,1,0,B,2,0.3,0.1,0.3,0,-0.0333333333333333,1,0,0,0,0,0
3,1,523,0,0,0,1,C,3,0.3,0.1,0.2,0,-0.0333333333333333,0,0,0,0,0,0
3,1,582,0,0,0,1,C,3,0.3,0.1,0.2,0,0.3,0,0,0,0,1,0
2,1,507,0,0,1,0,B,2,0.2,0.1,0.2,0,0.2,0,0,0,0,0,0
2,1,768,0,0,1,0,B,2,0.1,0.1,0.2,0,0.2,0,0,0,0,1,0
3,1,488,0,0,0,1,C,3,0,0.1,0.2,1,0.2,0,0,0,0,0,0
1,1,500,0,1,0,0,A,1,0,0.1,0.2,0,-0.133333333333333,1,0,0,0,0,0
3,1,543,0,0,0,1,C,3,0,0,0.2,1,0.2,0,0,0,0,0,0
2,1,434,0,0,1,0,B,2,0,0,0.1,0,0.1,1,0,0,0,0,0
2,1,682,1,0,1,0,B,2,0,0,0,1,-0.333333333333333,0,0,0,0,0,0
3,1,688,0,0,0,1,C,3,0,0.1,0,0,0.1,0,1,1,0,0,0
1,1,445,0,1,0,0,A,1,0,0.1,0,0,0.1,0,0,0,0,0,0
