choice_numeric_unfiltered,trial_filter,stim_RT,stim_ACC,achoice,bchoice,cchoice,stim_choice,stim_choice_numeric,prob_1,prob_2,prob_3,best_choice,above_chance_diff,prob_switch_err,spont_switch_err,erratic_spont,explore_switch,error_NOS,perseverative
3,1,13967,0,0,0,1,C,3,NaN,NaN,NaN,0,NaN,0,0,0,0,0,0
2,1,6668,0,0,1,0,B,2,0,0,0,1,0,0,0,0,0,0,0
1,1,1619,0,1,0,0,A,1,0,0,0,1,-0.333333333333333,1,0,0,0,0,0
2,1,2305,0,0,1,0,B,2,0,0,0,1,-0.333333333333333,1,0,0,0,0,0
3,1,1481,1,0,0,1,C,3,0,0,0,1,-0.666666666666667,0,0,0,0,0,0
3,1,1512,1,0,0,1,C,3,0,0,0.2,1,-0.466666666666667,0,0,0,0,0,0
1,1,698,0,1,0,0,A,1,0,0,0.333333333333333,0,0.333333333333333,0,1,1,0,0,0
1,1,541,0,1,0,0,A,1,0,0,0.285714285714286,0,-0.0476190476190476,0,0,0,0,1,0
3,1,490,1,0,0,1,C,3,0,0,0.25,1,-0.0833333333333333,0,0,0,0,0,0
1,1,2016,0,1,0,0,A,1,0,0,0.333333333333333,0,0,0,1,1,0,0,0
2,1,299,1,0,1,0,B,2,0,0,0.3,0,-0.0333333333333333,0,0,0,0,0,0
1,1,656,0,1,0,0,A,1,0,0.1,0.3,0,-0.0333333333333333,0,1,0,0,0,0
2,1,200,0,0,1,0,B,2,0,0.1,0.3,0,-0.0333333333333333,0,0,0,0,0,0
2,1,564,0,0,1,0,B,2,0,0.1,0.3,0,0.3,0,0,0,0,1,0
1,1,264,1,1,0,0,A,1,0,0.1,0.3,0,-0.366666666666667,0,0,0,0,0,0
2,1,1626,1,0,1,0,B,2,0.1,0.1,0.2,0,-0.133333333333333,0,0,0,0,0,0
3,1,585,1,0,0,1,C,3,0.1,0.2,0.1,0,-0.133333333333333,0,0,0,0,0,0
1,1,744,0,1,0,0,A,1,0.1,0.2,0.2,0,-0.133333333333333,0,1,0,0,0,0
3,1,275,1,0,0,1,C,3,0.1,0.2,0.2,1,-0.466666666666667,0,0,0,0,0,0
2,1,925,0,0,1,0,B,2,0.1,0.2,0.2,1,-0.133333333333333,0,1,1,0,0,0
2,1,441,1,0,1,0,B,2,0.1,0.2,0.2,1,-0.133333333333333,0,0,0,0,0,0
2,1,343,0,0,1,0,B,2,0.1,0.2,0.2,1,0.2,0,0,0,0,1,1
2,1,275,0,0,1,0,B,2,0.1,0.2,0.2,1,-0.133333333333333,0,0,0,0,1,1
1,1,3054,0,1,0,0,A,1,0.1,0.2,0.2,0,0.2,1,0,0,0,0,0
2,1,420,1,0,1,0,B,2,0.1,0.2,0.2,1,-0.466666666666667,0,0,0,0,0,0
1,1,519,1,1,0,0,A,1,0,0.3,0.2,0,-0.0333333333333333,0,0,0,0,0,0
1,1,581,1,1,0,0,A,1,0.1,0.2,0.2,0,-0.133333333333333,0,0,0,0,0,0
2,1,726,1,0,1,0,B,2,0.2,0.2,0.1,1,-0.133333333333333,0,0,0,0,0,0
1,1,523,1,1,0,0,A,1,0.2,0.3,0.1,0,-0.0333333333333333,0,0,0,0,0,0
3,1,551,1,0,0,1,C,3,0.3,0.3,0,0,-0.0333333333333333,0,0,0,0,0,0
3,1,575,1,0,0,1,C,3,0.3,0.3,0.1,0,-0.0333333333333333,0,0,0,0,0,0
1,1,494,0,1,0,0,A,1,0.3,0.2,0.2,1,0.3,0,1,0,0,0,0
2,1,476,0,0,1,0,B,2,0.3,0.2,0.2,0,-0.0333333333333333,1,0,0,0,0,0
3,1,271,0,0,0,1,C,3,0.3,0.2,0.2,0,-0.0333333333333333,0,0,0,0,0,0
3,1,256,0,0,0,1,C,3,0.3,0.2,0.2,0,0.3,0,0,0,0,1,0
3,1,442,0,0,0,1,C,3,0.3,0.1,0.2,0,0.3,0,0,0,0,1,0
1,1,209,0,1,0,0,A,1,0.2,0.1,0.2,1,0.2,0,0,0,0,0,0
1,1,8,0,1,0,0,A,1,0.1,0.1,0.2,0,0.2,0,0,0,0,1,0
2,1,686,0,0,1,0,B,2,0.1,0,0.2,0,-0.133333333333333,0,0,0,0,0,0
3,1,28,0,0,0,1,C,3,0,0,0.2,1,0.2,0,0,0,0,0,0
3,1,269,0,0,0,1,C,3,0,0,0.1,1,0.1,0,0,0,0,1,0
3,1,162,1,0,0,1,C,3,0,0,0,1,-0.333333333333333,0,0,0,0,0,0
3,1,186,0,0,0,1,C,3,0,0,0.1,1,0.1,0,0,0,0,1,1
2,1,418,0,0,1,0,B,2,0,0,0.1,0,0.1,1,0,0,0,0,0
3,1,204,1,0,0,1,C,3,0,0,0.1,1,-0.566666666666667,0,0,0,0,0,0
3,1,2649,1,0,0,1,C,3,0,0,0.2,1,-0.133333333333333,0,0,0,0,0,0
1,1,876,0,1,0,0,A,1,0,0,0.3,0,0.3,0,1,1,0,0,0
1,1,2085,0,1,0,0,A,1,0,0,0.3,0,-0.0333333333333333,0,0,0,0,1,0
2,1,747,1,0,1,0,B,2,0,0,0.3,0,-0.0333333333333333,0,0,0,0,0,0
1,1,1125,0,1,0,0,A,1,0,0.1,0.3,0,0.3,0,1,0,0,0,0
3,1,549,1,0,0,1,C,3,0,0.1,0.3,1,-0.0333333333333333,0,0,0,0,0,0
3,1,909,0,0,0,1,C,3,0,0.1,0.4,1,0.4,0,0,0,0,1,0
3,1,3460,0,0,0,1,C,3,0,0.1,0.3,1,0.3,0,0,0,0,1,1
3,1,4020,0,0,0,1,C,3,0,0.1,0.3,1,0.3,0,0,0,0,1,1
2,1,2791,0,0,1,0,B,2,0,0.1,0.3,0,0.3,1,0,0,0,0,0
1,1,764,0,1,0,0,A,1,0,0.1,0.2,0,-0.133333333333333,0,0,0,0,0,0
