choice_numeric_unfiltered,trial_filter,stim_RT,stim_ACC,achoice,bchoice,cchoice,stim_choice,stim_choice_numeric,prob_1,prob_2,prob_3,best_choice,above_chance_diff,prob_switch_err,spont_switch_err,erratic_spont,explore_switch,error_NOS,perseverative
3,1,1963,0,0,0,1,C,3,NaN,NaN,NaN,0,NaN,0,0,0,0,0,0
2,1,1019,0,0,1,0,B,2,0,0,0,1,0,0,0,0,0,0,0
1,1,667,0,1,0,0,A,1,0,0,0,1,-0.333333333333333,1,0,0,0,0,0
3,1,1695,0,0,0,1,C,3,0,0,0,1,-0.333333333333333,1,0,0,0,0,0
2,1,1206,1,0,1,0,B,2,0,0,0,1,-0.666666666666667,0,0,0,0,0,0
3,1,578,1,0,0,1,C,3,0,0.2,0,0,-0.466666666666667,0,0,0,0,0,0
1,1,512,0,1,0,0,A,1,0,0.166666666666667,0.166666666666667,0,0.166666666666667,0,1,0,0,0,0
1,1,1049,0,1,0,0,A,1,0,0.142857142857143,0.142857142857143,0,-0.19047619047619,0,0,0,0,1,0
3,1,611,1,0,0,1,C,3,0,0.125,0.125,1,-0.208333333333333,0,0,0,0,0,0
1,1,750,1,1,0,0,A,1,0,0.111111111111111,0.222222222222222,0,-0.111111111111111,0,0,0,0,0,0
1,1,593,1,1,0,0,A,1,0.1,0.1,0.2,0,-0.133333333333333,0,0,0,0,0,0
1,1,649,1,1,0,0,A,1,0.2,0.1,0.2,1,-0.133333333333333,0,0,0,0,0,0
3,1,549,0,0,0,1,C,3,0.3,0.1,0.2,0,-0.0333333333333333,0,1,1,0,0,0
2,1,442,0,0,1,0,B,2,0.3,0.1,0.2,0,0.3,0,0,0,0,0,0
2,1,570,1,0,1,0,B,2,0.3,0.1,0.2,0,-0.366666666666667,0,0,0,0,0,0
2,1,588,1,0,1,0,B,2,0.3,0.1,0.2,0,-0.0333333333333333,0,0,0,0,0,0
3,1,543,1,0,0,1,C,3,0.3,0.2,0.1,0,-0.0333333333333333,0,0,0,0,0,0
1,1,476,1,1,0,0,A,1,0.3,0.2,0.2,1,-0.0333333333333333,0,0,0,0,0,0
2,1,432,1,0,1,0,B,2,0.4,0.2,0.2,0,-0.266666666666667,0,0,0,0,0,0
1,1,407,1,1,0,0,A,1,0.4,0.3,0.1,1,0.0666666666666667,0,0,0,0,0,0
3,1,540,1,0,0,1,C,3,0.4,0.3,0.1,0,0.0666666666666667,0,0,0,0,0,0
2,1,437,0,0,1,0,B,2,0.3,0.3,0.2,1,0.3,0,1,0,0,0,0
3,1,441,1,0,0,1,C,3,0.2,0.3,0.2,0,-0.0333333333333333,0,0,0,0,0,0
3,1,513,0,0,0,1,C,3,0.2,0.3,0.3,1,0.3,0,0,0,0,1,0
