choice_numeric_unfiltered,trial_filter,stim_RT,stim_ACC,achoice,bchoice,cchoice,stim_choice,stim_choice_numeric,prob_1,prob_2,prob_3,best_choice,above_chance_diff,prob_switch_err,spont_switch_err,erratic_spont,explore_switch,error_NOS,perseverative
1,1,1509,1,1,0,0,A,1,NaN,NaN,NaN,0,NaN,0,0,0,0,0,0
1,1,1273,0,1,0,0,A,1,1,0,0,1,1,0,0,0,0,1,0
1,1,318,0,1,0,0,A,1,0.5,0,0,1,0.166666666666667,0,0,0,0,1,0
3,1,558,0,0,0,1,C,3,0.333333333333333,0,0,0,0,1,0,0,0,0,0
3,1,649,0,0,0,1,C,3,0.25,0,0,0,-0.416666666666667,0,0,0,0,1,0
1,1,680,1,1,0,0,A,1,0.2,0,0,1,-0.466666666666667,0,0,0,0,0,0
1,1,1413,0,1,0,0,A,1,0.333333333333333,0,0,1,0.333333333333333,0,0,0,0,1,0
3,1,1194,1,0,0,1,C,3,0.285714285714286,0,0,0,-0.0476190476190476,0,0,0,0,0,0
2,1,1222,0,0,1,0,B,2,0.25,0,0.125,0,-0.0833333333333333,0,1,0,0,0,0
2,1,1050,1,0,1,0,B,2,0.222222222222222,0,0.111111111111111,0,-0.111111111111111,0,0,0,0,0,0
1,1,398,0,1,0,0,A,1,0.2,0.1,0.1,1,-0.133333333333333,0,1,0,0,0,0
3,1,480,1,0,0,1,C,3,0.1,0.1,0.1,1,-0.233333333333333,0,0,0,0,0,0
3,1,601,0,0,0,1,C,3,0.1,0.1,0.2,1,-0.133333333333333,0,0,0,0,1,0
3,1,2032,0,0,0,1,C,3,0.1,0.1,0.2,1,0.2,0,0,0,0,1,1
1,1,854,0,1,0,0,A,1,0.1,0.1,0.2,0,-0.466666666666667,1,0,0,0,0,0
3,1,1024,1,0,0,1,C,3,0.1,0.1,0.2,1,-0.133333333333333,0,0,0,0,0,0
3,1,1311,1,0,0,1,C,3,0,0.1,0.3,1,-0.0333333333333333,0,0,0,0,0,0
1,1,552,1,1,0,0,A,1,0,0.1,0.4,0,0.0666666666666667,0,0,0,0,0,0
2,1,1135,1,0,1,0,B,2,0.1,0.1,0.3,0,-0.366666666666667,0,0,0,0,0,0
2,1,545,0,0,1,0,B,2,0.1,0.2,0.3,0,-0.0333333333333333,0,0,0,0,1,0
2,1,1725,0,0,1,0,B,2,0.1,0.1,0.3,0,-0.0333333333333333,0,0,0,0,1,0
3,1,1100,0,0,0,1,C,3,0.1,0.1,0.3,1,0.3,0,0,0,0,0,0
1,1,1007,0,1,0,0,A,1,0.1,0.1,0.2,0,-0.133333333333333,1,0,0,0,0,0
1,1,558,0,1,0,0,A,1,0.1,0.1,0.2,0,0.2,0,0,0,0,1,0
2,1,2067,1,0,1,0,B,2,0.1,0.1,0.2,0,-0.466666666666667,0,0,0,0,0,0
1,1,802,0,1,0,0,A,1,0.1,0.2,0.2,0,-0.133333333333333,0,1,0,0,0,0
2,1,1552,0,0,1,0,B,2,0.1,0.2,0.1,1,-0.133333333333333,0,0,0,0,0,0
3,1,2465,0,0,0,1,C,3,0.1,0.2,0,0,-0.133333333333333,1,0,0,0,0,0
3,1,646,0,0,0,1,C,3,0,0.2,0,0,-0.133333333333333,0,0,0,0,1,0
1,1,3249,0,1,0,0,A,1,0,0.1,0,0,-0.233333333333333,0,0,0,0,0,0
2,1,555,1,0,1,0,B,2,0,0.1,0,1,-0.233333333333333,0,0,0,0,0,0
1,1,941,0,1,0,0,A,1,0,0.2,0,0,0.2,0,1,1,0,0,0
3,1,452,0,0,0,1,C,3,0,0.2,0,0,-0.133333333333333,0,0,0,0,0,0
3,1,640,1,0,0,1,C,3,0,0.2,0,0,-0.133333333333333,0,0,0,0,0,0
1,1,429,0,1,0,0,A,1,0,0.2,0.1,0,0.2,0,1,0,0,0,0
3,1,1350,0,0,0,1,C,3,0,0.1,0.1,1,0.1,0,0,0,0,0,0
2,1,648,0,0,1,0,B,2,0,0.1,0.1,1,0.1,1,0,0,0,0,0
2,1,1303,0,0,1,0,B,2,0,0.1,0.1,1,0.1,0,0,0,0,1,0
3,1,1611,1,0,0,1,C,3,0,0.1,0.1,1,-0.233333333333333,0,0,0,0,0,0
1,1,2144,0,1,0,0,A,1,0,0.1,0.2,0,0.2,0,1,1,0,0,0
3,1,1567,0,0,0,1,C,3,0,0.1,0.2,1,0.2,0,0,0,0,0,0
1,1,1353,1,1,0,0,A,1,0,0,0.2,0,-0.133333333333333,0,0,0,0,0,0
3,1,3148,0,0,0,1,C,3,0.1,0,0.2,1,0.2,0,1,0,0,0,0
