choice_numeric_unfiltered,trial_filter,stim_RT,stim_ACC,achoice,bchoice,cchoice,stim_choice,stim_choice_numeric,prob_1,prob_2,prob_3,best_choice,above_chance_diff,prob_switch_err,spont_switch_err,erratic_spont,explore_switch,error_NOS,perseverative
2,1,2203,0,0,1,0,B,2,NaN,NaN,NaN,0,NaN,0,0,0,0,0,0
3,1,2129,0,0,0,1,C,3,0,0,0,1,0,0,0,0,0,0,0
2,1,442,1,0,1,0,B,2,0,0,0,1,-0.333333333333333,0,0,0,0,0,0
1,1,367,1,1,0,0,A,1,0,0.333333333333333,0,0,0,0,0,0,0,0,0
1,1,611,1,1,0,0,A,1,0.25,0.25,0,1,-0.416666666666667,0,0,0,0,0,0
2,1,670,0,0,1,0,B,2,0.4,0.2,0,0,-0.266666666666667,0,1,1,0,0,0
2,1,504,0,0,1,0,B,2,0.333333333333333,0.166666666666667,0,0,0.333333333333333,0,0,0,0,1,0
3,1,643,1,0,0,1,C,3,0.285714285714286,0.142857142857143,0,0,-0.0476190476190476,0,0,0,0,0,0
2,1,502,1,0,1,0,B,2,0.25,0.125,0.125,0,-0.0833333333333333,0,0,0,0,0,0
1,1,353,1,1,0,0,A,1,0.222222222222222,0.222222222222222,0.111111111111111,1,-0.111111111111111,0,0,0,0,0,0
1,1,413,1,1,0,0,A,1,0.3,0.2,0.1,1,-0.0333333333333333,0,0,0,0,0,0
1,1,343,1,1,0,0,A,1,0.4,0.2,0.1,1,0.0666666666666667,0,0,0,0,0,0
3,1,427,0,0,0,1,C,3,0.5,0.2,0.1,0,0.166666666666667,0,1,1,0,0,0
3,1,582,0,0,0,1,C,3,0.5,0.1,0.1,0,0.5,0,0,0,0,1,0
2,1,508,1,0,1,0,B,2,0.4,0.1,0.1,0,-0.266666666666667,0,0,0,0,0,0
2,1,556,1,0,1,0,B,2,0.3,0.2,0.1,0,-0.0333333333333333,0,0,0,0,0,0
3,1,803,1,0,0,1,C,3,0.3,0.3,0.1,0,-0.0333333333333333,0,0,0,0,0,0
1,1,725,1,1,0,0,A,1,0.3,0.3,0.2,1,-0.0333333333333333,0,0,0,0,0,0
2,1,381,1,0,1,0,B,2,0.4,0.3,0.1,0,-0.266666666666667,0,0,0,0,0,0
1,1,377,1,1,0,0,A,1,0.4,0.3,0.1,1,0.0666666666666667,0,0,0,0,0,0
3,1,348,0,0,0,1,C,3,0.4,0.3,0.1,0,0.0666666666666667,0,1,1,0,0,0
3,1,559,0,0,0,1,C,3,0.3,0.3,0.1,0,0.3,0,0,0,0,1,0
3,1,540,1,0,0,1,C,3,0.2,0.3,0.1,0,-0.0333333333333333,0,0,0,0,0,0
3,1,603,0,0,0,1,C,3,0.2,0.3,0.2,0,0.3,0,0,0,0,1,0
1,1,423,1,1,0,0,A,1,0.2,0.3,0.2,0,-0.366666666666667,0,0,0,0,0,0
1,1,398,1,1,0,0,A,1,0.3,0.2,0.2,1,-0.0333333333333333,0,0,0,0,0,0
1,1,444,1,1,0,0,A,1,0.4,0.1,0.2,1,0.0666666666666667,0,0,0,0,0,0
2,1,739,1,0,1,0,B,2,0.5,0.1,0.1,0,0.166666666666667,0,0,0,0,0,0
1,1,680,1,1,0,0,A,1,0.4,0.2,0.1,1,0.0666666666666667,0,0,0,0,0,0
3,1,600,1,0,0,1,C,3,0.5,0.1,0.1,0,0.166666666666667,0,0,0,0,0,0
3,1,435,1,0,0,1,C,3,0.4,0.1,0.2,0,0.0666666666666667,0,0,0,0,0,0
