choice_numeric_unfiltered,trial_filter,stim_RT,stim_ACC,achoice,bchoice,cchoice,stim_choice,stim_choice_numeric,prob_1,prob_2,prob_3,best_choice,above_chance_diff,prob_switch_err,spont_switch_err,erratic_spont,explore_switch,error_NOS,perseverative
2,1,80,0,0,1,0,B,2,NaN,NaN,NaN,0,NaN,0,0,0,0,0,0
3,1,9476,0,0,0,1,C,3,0,0,0,1,0,0,0,0,0,0,0
1,1,2236,0,1,0,0,A,1,0,0,0,1,-0.333333333333333,1,0,0,0,0,0
3,1,525,1,0,0,1,C,3,0,0,0,1,-0.333333333333333,0,0,0,0,0,0
1,1,432,0,1,0,0,A,1,0,0,0.25,0,-0.416666666666667,0,1,1,0,0,0
1,1,548,1,1,0,0,A,1,0,0,0.2,0,-0.466666666666667,0,0,0,0,0,0
3,1,358,0,0,0,1,C,3,0.166666666666667,0,0.166666666666667,1,0.166666666666667,0,1,0,0,0,0
2,1,420,1,0,1,0,B,2,0.142857142857143,0,0.142857142857143,0,-0.19047619047619,0,0,0,0,0,0
2,1,676,0,0,1,0,B,2,0.125,0.125,0.125,1,-0.208333333333333,0,0,0,0,1,0
2,1,409,1,0,1,0,B,2,0.111111111111111,0.111111111111111,0.111111111111111,1,-0.222222222222222,0,0,0,0,0,0
1,1,375,1,1,0,0,A,1,0.1,0.2,0.1,0,-0.133333333333333,0,0,0,0,0,0
1,1,427,1,1,0,0,A,1,0.2,0.2,0.1,1,-0.133333333333333,0,0,0,0,0,0
3,1,382,0,0,0,1,C,3,0.3,0.2,0.1,0,-0.0333333333333333,0,1,1,0,0,0
2,1,438,0,0,1,0,B,2,0.3,0.2,0.1,0,0.3,0,0,0,0,0,0
2,1,473,0,0,1,0,B,2,0.3,0.2,0,0,-0.366666666666667,0,0,0,0,1,0
3,1,507,0,0,0,1,C,3,0.3,0.2,0,0,-0.0333333333333333,0,0,0,0,0,0
2,1,306,1,0,1,0,B,2,0.2,0.2,0,1,-0.133333333333333,0,0,0,0,0,0
1,1,328,1,1,0,0,A,1,0.2,0.3,0,0,-0.0333333333333333,0,0,0,0,0,0
2,1,585,1,0,1,0,B,2,0.3,0.2,0,0,-0.366666666666667,0,0,0,0,0,0
1,1,337,1,1,0,0,A,1,0.3,0.3,0,1,-0.0333333333333333,0,0,0,0,0,0
3,1,311,1,0,0,1,C,3,0.4,0.2,0,0,0.0666666666666667,0,0,0,0,0,0
2,1,286,0,0,1,0,B,2,0.3,0.2,0.1,0,0.3,0,1,0,0,0,0
3,1,336,1,0,0,1,C,3,0.2,0.2,0.1,0,-0.133333333333333,0,0,0,0,0,0
3,1,372,0,0,0,1,C,3,0.2,0.2,0.2,1,0.2,0,0,0,0,1,0
1,1,558,1,1,0,0,A,1,0.2,0.2,0.2,1,-0.466666666666667,0,0,0,0,0,0
1,1,409,0,1,0,0,A,1,0.3,0.2,0.2,1,-0.0333333333333333,0,0,0,0,1,0
3,1,321,1,0,0,1,C,3,0.3,0.2,0.2,0,-0.0333333333333333,0,0,0,0,0,0
2,1,447,0,0,1,0,B,2,0.3,0.1,0.3,0,-0.0333333333333333,0,1,0,0,0,0
3,1,347,1,0,0,1,C,3,0.2,0.1,0.3,1,-0.0333333333333333,0,0,0,0,0,0
3,1,338,1,0,0,1,C,3,0.2,0,0.4,1,0.0666666666666667,0,0,0,0,0,0
3,1,334,1,0,0,1,C,3,0.1,0,0.5,1,0.166666666666667,0,0,0,0,0,0
1,1,410,0,1,0,0,A,1,0.1,0,0.5,0,0.5,0,1,1,0,0,0
2,1,419,0,0,1,0,B,2,0.1,0,0.5,0,0.166666666666667,0,0,0,0,0,0
3,1,628,0,0,0,1,C,3,0.1,0,0.4,1,0.0666666666666667,0,0,0,0,0,0
2,1,499,0,0,1,0,B,2,0.1,0,0.4,0,0.4,1,0,0,0,0,0
1,1,348,0,1,0,0,A,1,0,0,0.4,0,0.4,0,0,0,0,0,0
1,1,391,0,1,0,0,A,1,0,0,0.4,0,0.4,0,0,0,0,1,0
3,1,354,0,0,0,1,C,3,0,0,0.3,1,0.3,0,0,0,0,0,0
1,1,675,1,1,0,0,A,1,0,0,0.3,0,-0.0333333333333333,0,0,0,0,0,0
1,1,390,0,1,0,0,A,1,0.1,0,0.2,0,0.2,0,0,0,0,1,0
1,1,387,0,1,0,0,A,1,0.1,0,0.1,1,0.1,0,0,0,0,1,0
2,1,269,0,0,1,0,B,2,0.1,0,0,0,-0.233333333333333,1,0,0,0,0,0
2,1,413,0,0,1,0,B,2,0.1,0,0,0,0.1,0,0,0,0,1,0
1,1,486,0,1,0,0,A,1,0.1,0,0,1,0.1,0,0,0,0,0,0
2,1,419,1,0,1,0,B,2,0.1,0,0,0,-0.566666666666667,0,0,0,0,0,0
3,1,324,0,0,0,1,C,3,0.1,0.1,0,0,-0.233333333333333,0,1,0,0,0,0
2,1,492,0,0,1,0,B,2,0.1,0.1,0,1,0.1,0,0,0,0,0,0
1,1,463,0,1,0,0,A,1,0.1,0.1,0,1,-0.233333333333333,1,0,0,0,0,0
2,1,655,1,0,1,0,B,2,0.1,0.1,0,1,-0.233333333333333,0,0,0,0,0,0
1,1,416,0,1,0,0,A,1,0,0.2,0,0,0.2,0,1,1,0,0,0
3,1,618,1,0,0,1,C,3,0,0.2,0,0,-0.133333333333333,0,0,0,0,0,0
3,1,457,0,0,0,1,C,3,0,0.2,0.1,0,0.2,0,0,0,0,1,0
3,1,481,0,0,0,1,C,3,0,0.2,0.1,0,0.2,0,0,0,0,1,0
2,1,426,0,0,1,0,B,2,0,0.2,0.1,1,0.2,0,0,0,0,0,0
3,1,537,0,0,0,1,C,3,0,0.2,0.1,0,0.2,1,0,0,0,0,0
