choice_numeric_unfiltered,trial_filter,stim_RT,stim_ACC,achoice,bchoice,cchoice,stim_choice,stim_choice_numeric,prob_1,prob_2,prob_3,best_choice,above_chance_diff,prob_switch_err,spont_switch_err,erratic_spont,explore_switch,error_NOS,perseverative
1,1,4028,1,1,0,0,A,1,NaN,NaN,NaN,0,NaN,0,0,0,0,0,0
1,1,2195,0,1,0,0,A,1,1,0,0,1,1,0,0,0,0,1,0
1,1,578,0,1,0,0,A,1,0.5,0,0,1,0.166666666666667,0,0,0,0,1,0
3,1,1755,1,0,0,1,C,3,0.333333333333333,0,0,0,0,0,0,0,0,0,0
1,1,1106,1,1,0,0,A,1,0.25,0,0.25,1,-0.416666666666667,0,0,0,0,0,0
3,1,1554,1,0,0,1,C,3,0.4,0,0.2,0,-0.266666666666667,0,0,0,0,0,0
1,1,849,0,1,0,0,A,1,0.333333333333333,0,0.333333333333333,1,0.333333333333333,0,1,0,0,0,0
1,1,799,1,1,0,0,A,1,0.285714285714286,0,0.285714285714286,1,-0.0476190476190476,0,0,0,0,0,0
2,1,618,0,0,1,0,B,2,0.375,0,0.25,0,0.0416666666666667,0,1,1,0,0,0
2,1,422,1,0,1,0,B,2,0.333333333333333,0,0.222222222222222,0,0,0,0,0,0,0,0
1,1,524,1,1,0,0,A,1,0.3,0.1,0.2,1,-0.0333333333333333,0,0,0,0,0,0
1,1,532,1,1,0,0,A,1,0.3,0.1,0.2,1,-0.0333333333333333,0,0,0,0,0,0
3,1,828,0,0,0,1,C,3,0.4,0.1,0.2,0,0.0666666666666667,0,1,1,0,0,0
3,1,582,0,0,0,1,C,3,0.4,0.1,0.2,0,0.4,0,0,0,0,1,0
2,1,766,1,0,1,0,B,2,0.4,0.1,0.1,0,-0.266666666666667,0,0,0,0,0,0
2,1,1285,1,0,1,0,B,2,0.3,0.2,0.1,0,-0.0333333333333333,0,0,0,0,0,0
3,1,348,1,0,0,1,C,3,0.3,0.3,0,0,-0.0333333333333333,0,0,0,0,0,0
1,1,383,1,1,0,0,A,1,0.3,0.3,0.1,1,-0.0333333333333333,0,0,0,0,0,0
2,1,369,1,0,1,0,B,2,0.3,0.3,0.1,1,-0.366666666666667,0,0,0,0,0,0
1,1,338,1,1,0,0,A,1,0.3,0.4,0.1,0,0.0666666666666667,0,0,0,0,0,0
3,1,407,1,0,0,1,C,3,0.4,0.3,0.1,0,0.0666666666666667,0,0,0,0,0,0
2,1,307,0,0,1,0,B,2,0.3,0.3,0.2,1,0.3,0,1,0,0,0,0
3,1,345,1,0,0,1,C,3,0.2,0.3,0.2,0,-0.0333333333333333,0,0,0,0,0,0
3,1,354,0,0,0,1,C,3,0.2,0.3,0.3,1,0.3,0,0,0,0,1,0
1,1,332,1,1,0,0,A,1,0.2,0.3,0.3,0,-0.366666666666667,0,0,0,0,0,0
1,1,392,1,1,0,0,A,1,0.3,0.2,0.3,1,-0.0333333333333333,0,0,0,0,0,0
1,1,355,1,1,0,0,A,1,0.4,0.1,0.3,1,0.0666666666666667,0,0,0,0,0,0
2,1,388,1,0,1,0,B,2,0.5,0.1,0.2,0,0.166666666666667,0,0,0,0,0,0
1,1,402,1,1,0,0,A,1,0.4,0.2,0.2,1,0.0666666666666667,0,0,0,0,0,0
3,1,410,1,0,0,1,C,3,0.5,0.1,0.2,0,0.166666666666667,0,0,0,0,0,0
3,1,415,1,0,0,1,C,3,0.4,0.1,0.3,0,0.0666666666666667,0,0,0,0,0,0
1,1,410,0,1,0,0,A,1,0.4,0.1,0.3,1,0.4,0,1,0,1,0,0
2,1,488,0,0,1,0,B,2,0.4,0.1,0.3,0,0.0666666666666667,1,0,0,0,0,0
3,1,376,0,0,0,1,C,3,0.4,0.1,0.2,0,0.0666666666666667,0,0,0,0,0,0
3,1,525,0,0,0,1,C,3,0.4,0.1,0.2,0,0.4,0,0,0,0,1,0
2,1,611,0,0,1,0,B,2,0.3,0.1,0.2,0,0.3,0,0,0,0,0,0
1,1,367,0,1,0,0,A,1,0.2,0.1,0.2,1,0.2,0,0,0,0,0,0
3,1,455,0,0,0,1,C,3,0.1,0.1,0.2,1,0.2,1,0,0,0,0,0
1,1,511,0,1,0,0,A,1,0.1,0,0.2,0,-0.133333333333333,1,0,0,0,0,0
3,1,772,0,0,0,1,C,3,0,0,0.2,1,0.2,0,0,0,0,0,0
