choice_numeric_unfiltered,trial_filter,stim_RT,stim_ACC,achoice,bchoice,cchoice,stim_choice,stim_choice_numeric,prob_1,prob_2,prob_3,best_choice,above_chance_diff,prob_switch_err,spont_switch_err,erratic_spont,explore_switch,error_NOS,perseverative
1,1,1150,1,1,0,0,A,1,NaN,NaN,NaN,0,NaN,0,0,0,0,0,0
1,1,319,0,1,0,0,A,1,1,0,0,1,1,0,0,0,0,1,0
1,1,528,0,1,0,0,A,1,0.5,0,0,1,0.166666666666667,0,0,0,0,1,0
3,1,261,1,0,0,1,C,3,0.333333333333333,0,0,0,0,0,0,0,0,0,0
1,1,319,1,1,0,0,A,1,0.25,0,0.25,1,-0.416666666666667,0,0,0,0,0,0
2,1,445,1,0,1,0,B,2,0.4,0,0.2,0,-0.266666666666667,0,0,0,0,0,0
1,1,413,0,1,0,0,A,1,0.333333333333333,0.166666666666667,0.166666666666667,1,0.333333333333333,0,1,0,0,0,0
3,1,498,1,0,0,1,C,3,0.285714285714286,0.142857142857143,0.142857142857143,0,-0.0476190476190476,0,0,0,0,0,0
2,1,411,1,0,1,0,B,2,0.25,0.125,0.25,0,-0.0833333333333333,0,0,0,0,0,0
1,1,426,0,1,0,0,A,1,0.222222222222222,0.222222222222222,0.222222222222222,1,-0.111111111111111,0,1,0,0,0,0
2,1,364,0,0,1,0,B,2,0.2,0.2,0.2,1,-0.133333333333333,1,0,0,0,0,0
2,1,315,1,0,1,0,B,2,0.1,0.2,0.2,1,-0.133333333333333,0,0,0,0,0,0
3,1,409,0,0,0,1,C,3,0.1,0.3,0.2,0,-0.0333333333333333,0,1,1,0,0,0
2,1,275,0,0,1,0,B,2,0.1,0.3,0.2,1,0.3,0,0,0,0,0,0
2,1,272,1,0,1,0,B,2,0.1,0.3,0.1,1,-0.366666666666667,0,0,0,0,0,0
2,1,82,0,0,1,0,B,2,0,0.4,0.1,1,0.0666666666666667,0,0,0,0,1,0
1,1,283,0,1,0,0,A,1,0,0.3,0.1,0,-0.0333333333333333,1,0,0,0,0,0
2,1,366,1,0,1,0,B,2,0,0.3,0.1,1,-0.0333333333333333,0,0,0,0,0,0
2,1,429,1,0,1,0,B,2,0,0.4,0,1,-0.266666666666667,0,0,0,0,0,0
1,1,447,0,1,0,0,A,1,0,0.4,0,0,0.0666666666666667,0,1,1,0,0,0
1,1,391,1,1,0,0,A,1,0,0.4,0,0,0.0666666666666667,0,0,0,0,0,0
2,1,415,0,0,1,0,B,2,0.1,0.4,0,1,0.4,0,1,0,1,0,0
3,1,529,1,0,0,1,C,3,0.1,0.3,0,0,-0.0333333333333333,0,0,0,0,0,0
3,1,656,0,0,0,1,C,3,0.1,0.3,0.1,0,0.3,0,0,0,0,1,0
1,1,543,1,1,0,0,A,1,0.1,0.3,0.1,0,-0.366666666666667,0,0,0,0,0,0
1,1,470,1,1,0,0,A,1,0.2,0.2,0.1,1,-0.133333333333333,0,0,0,0,0,0
1,1,489,1,1,0,0,A,1,0.3,0.2,0.1,1,-0.0333333333333333,0,0,0,0,0,0
2,1,930,0,0,1,0,B,2,0.4,0.2,0.1,0,0.0666666666666667,0,1,1,0,0,0
2,1,397,1,0,1,0,B,2,0.4,0.1,0.1,0,0.0666666666666667,0,0,0,0,0,0
3,1,880,0,0,0,1,C,3,0.4,0.1,0.1,0,0.0666666666666667,0,1,0,0,0,0
2,1,514,1,0,1,0,B,2,0.4,0.1,0.1,0,0.0666666666666667,0,0,0,0,0,0
1,1,594,0,1,0,0,A,1,0.3,0.2,0.1,1,0.3,0,1,0,0,0,0
2,1,608,0,0,1,0,B,2,0.3,0.2,0.1,0,-0.0333333333333333,1,0,0,0,0,0
3,1,464,0,0,0,1,C,3,0.3,0.2,0,0,-0.0333333333333333,0,0,0,0,0,0
2,1,6028,0,0,1,0,B,2,0.3,0.2,0,0,0.3,0,0,0,0,0,0
3,1,1928,0,0,0,1,C,3,0.2,0.2,0,0,0.2,0,0,0,0,0,0
3,1,375,0,0,0,1,C,3,0.1,0.2,0,0,0.2,0,0,0,0,1,0
1,1,394,0,1,0,0,A,1,0,0.2,0,0,0.2,0,0,0,0,0,0
1,1,2542,0,1,0,0,A,1,0,0.2,0,0,-0.133333333333333,0,0,0,0,1,0
3,1,983,0,0,0,1,C,3,0,0.1,0,0,0.1,0,0,0,0,0,0
2,1,1045,0,0,1,0,B,2,0,0.1,0,1,0.1,0,0,0,0,0,0
2,1,359,0,0,1,0,B,2,0,0,0,1,-0.333333333333333,0,0,0,0,1,0
2,1,389,0,0,1,0,B,2,0,0,0,1,0,0,0,0,0,1,1
1,1,337,0,1,0,0,A,1,0,0,0,1,0,1,0,0,0,0,0
2,1,267,1,0,1,0,B,2,0,0,0,1,-0.666666666666667,0,0,0,0,0,0
3,1,1140,1,0,0,1,C,3,0,0.1,0,0,-0.233333333333333,0,0,0,0,0,0
1,1,646,0,1,0,0,A,1,0,0.1,0.1,0,0.1,0,1,0,0,0,0
1,1,1305,0,1,0,0,A,1,0,0.1,0.1,0,-0.233333333333333,0,0,0,0,1,0
2,1,794,0,0,1,0,B,2,0,0.1,0.1,1,-0.233333333333333,0,0,0,0,0,0
3,1,922,0,0,0,1,C,3,0,0.1,0.1,1,0.1,1,0,0,0,0,0
2,1,1132,1,0,1,0,B,2,0,0.1,0.1,1,-0.233333333333333,0,0,0,0,0,0
3,1,1964,0,0,0,1,C,3,0,0.2,0.1,0,0.2,0,1,1,0,0,0
3,1,2124,0,0,0,1,C,3,0,0.2,0.1,0,0.2,0,0,0,0,1,0
1,1,1634,0,1,0,0,A,1,0,0.2,0.1,0,0.2,0,0,0,0,0,0
3,1,732,0,0,0,1,C,3,0,0.2,0.1,0,0.2,0,0,0,0,0,0
2,1,454,0,0,1,0,B,2,0,0.1,0.1,1,-0.233333333333333,0,0,0,0,0,0
3,1,81,0,0,0,1,C,3,0,0.1,0,0,0.1,1,0,0,0,0,0
3,1,345,0,0,0,1,C,3,0,0.1,0,0,0.1,0,0,0,0,1,0
2,1,283,0,0,1,0,B,2,0,0.1,0,1,0.1,0,0,0,0,0,0
2,1,296,0,0,1,0,B,2,0,0.1,0,1,0.1,0,0,0,0,1,0
3,1,12,0,0,0,1,C,3,0,0.1,0,0,-0.566666666666667,1,0,0,0,0,0
1,1,183,1,1,0,0,A,1,0,0,0,1,-0.666666666666667,0,0,0,0,0,0
3,1,553,1,0,0,1,C,3,0.1,0,0,0,-0.233333333333333,0,0,0,0,0,0
3,1,375,0,0,0,1,C,3,0.1,0,0.1,1,-0.233333333333333,0,0,0,0,1,0
3,1,312,0,0,0,1,C,3,0.1,0,0.1,1,-0.233333333333333,0,0,0,0,1,0
3,1,223,0,0,0,1,C,3,0.1,0,0.1,1,-0.233333333333333,0,0,0,0,1,1
3,1,391,1,0,0,1,C,3,0.1,0,0.1,1,-0.233333333333333,0,0,0,0,0,0
2,1,388,1,0,1,0,B,2,0.1,0,0.2,0,-0.133333333333333,0,0,0,0,0,0
3,1,754,0,0,0,1,C,3,0.1,0.1,0.2,1,-0.133333333333333,0,1,0,0,0,0
2,1,338,1,0,1,0,B,2,0.1,0.1,0.2,0,-0.133333333333333,0,0,0,0,0,0
1,1,308,1,1,0,0,A,1,0.1,0.2,0.2,0,-0.133333333333333,0,0,0,0,0,0
2,1,692,0,0,1,0,B,2,0.2,0.2,0.2,1,0.2,0,1,0,0,0,0
3,1,503,0,0,0,1,C,3,0.1,0.2,0.2,1,-0.133333333333333,1,0,0,0,0,0
2,1,301,1,0,1,0,B,2,0.1,0.2,0.1,1,-0.133333333333333,0,0,0,0,0,0
2,1,377,1,0,1,0,B,2,0.1,0.3,0.1,1,-0.0333333333333333,0,0,0,0,0,0
2,1,512,1,0,1,0,B,2,0.1,0.4,0.1,1,0.0666666666666667,0,0,0,0,0,0
1,1,863,1,1,0,0,A,1,0.1,0.5,0.1,0,0.166666666666667,0,0,0,0,0,0
2,1,358,1,0,1,0,B,2,0.2,0.5,0,1,0.166666666666667,0,0,0,0,0,0
1,1,412,1,1,0,0,A,1,0.2,0.5,0,0,0.166666666666667,0,0,0,0,0,0
3,1,349,1,0,0,1,C,3,0.3,0.5,0,0,0.166666666666667,0,0,0,0,0,0
2,1,377,0,0,1,0,B,2,0.3,0.4,0.1,1,0.4,0,1,0,1,0,0
1,1,501,0,1,0,0,A,1,0.2,0.4,0.1,0,0.0666666666666667,1,0,0,0,0,0
1,1,336,0,1,0,0,A,1,0.2,0.4,0.1,0,0.4,0,0,0,0,1,0
3,1,317,0,0,0,1,C,3,0.2,0.4,0.1,0,0.4,0,0,0,0,0,0
3,1,338,1,0,0,1,C,3,0.2,0.3,0.1,0,-0.366666666666667,0,0,0,0,0,0
2,1,312,0,0,1,0,B,2,0.2,0.2,0.2,1,-0.133333333333333,0,1,0,0,0,0
1,1,449,0,1,0,0,A,1,0.2,0.1,0.2,1,-0.133333333333333,1,0,0,0,0,0
1,1,441,0,1,0,0,A,1,0.1,0.1,0.2,0,-0.133333333333333,0,0,0,0,1,0
3,1,253,0,0,0,1,C,3,0.1,0,0.2,1,-0.133333333333333,0,0,0,0,0,0
2,1,307,1,0,1,0,B,2,0,0,0.2,0,-0.466666666666667,0,0,0,0,0,0
1,1,307,0,1,0,0,A,1,0,0.1,0.1,0,0.1,0,1,0,0,0,0
1,1,318,0,1,0,0,A,1,0,0.1,0.1,0,0.1,0,0,0,0,1,0
3,1,794,0,0,0,1,C,3,0,0.1,0.1,1,-0.233333333333333,0,0,0,0,0,0
