choice_numeric_unfiltered,trial_filter,stim_RT,stim_ACC,achoice,bchoice,cchoice,stim_choice,stim_choice_numeric,prob_1,prob_2,prob_3,best_choice,above_chance_diff,prob_switch_err,spont_switch_err,erratic_spont,explore_switch,error_NOS,perseverative
2,1,1293,0,0,1,0,B,2,NaN,NaN,NaN,0,NaN,0,0,0,0,0,0
3,1,1080,0,0,0,1,C,3,0,0,0,1,0,0,0,0,0,0,0
1,1,372,0,1,0,0,A,1,0,0,0,1,-0.333333333333333,1,0,0,0,0,0
2,1,559,0,0,1,0,B,2,0,0,0,1,-0.333333333333333,1,0,0,0,0,0
3,1,735,1,0,0,1,C,3,0,0,0,1,-0.666666666666667,0,0,0,0,0,0
3,1,432,1,0,0,1,C,3,0,0,0.2,1,-0.466666666666667,0,0,0,0,0,0
1,1,576,0,1,0,0,A,1,0,0,0.333333333333333,0,0.333333333333333,0,1,1,0,0,0
1,1,563,0,1,0,0,A,1,0,0,0.285714285714286,0,-0.0476190476190476,0,0,0,0,1,0
3,1,425,0,0,0,1,C,3,0,0,0.25,1,-0.0833333333333333,0,0,0,0,0,0
3,1,333,0,0,0,1,C,3,0,0,0.222222222222222,1,-0.111111111111111,0,0,0,0,1,0
2,1,450,0,0,1,0,B,2,0,0,0.2,0,-0.133333333333333,1,0,0,0,0,0
3,1,471,0,0,0,1,C,3,0,0,0.2,1,-0.133333333333333,0,0,0,0,0,0
2,1,1165,0,0,1,0,B,2,0,0,0.2,0,-0.133333333333333,1,0,0,0,0,0
2,1,444,0,0,1,0,B,2,0,0,0.2,0,0.2,0,0,0,0,1,0
2,1,546,1,0,1,0,B,2,0,0,0.2,0,-0.466666666666667,0,0,0,0,0,0
2,1,711,1,0,1,0,B,2,0,0.1,0.1,1,-0.233333333333333,0,0,0,0,0,0
3,1,750,1,0,0,1,C,3,0,0.2,0,0,-0.133333333333333,0,0,0,0,0,0
1,1,511,1,1,0,0,A,1,0,0.2,0.1,0,-0.133333333333333,0,0,0,0,0,0
2,1,499,1,0,1,0,B,2,0.1,0.2,0.1,1,-0.466666666666667,0,0,0,0,0,0
1,1,422,1,1,0,0,A,1,0.1,0.3,0.1,0,-0.0333333333333333,0,0,0,0,0,0
3,1,407,1,0,0,1,C,3,0.2,0.3,0.1,0,-0.0333333333333333,0,0,0,0,0,0
2,1,820,0,0,1,0,B,2,0.2,0.3,0.2,1,0.3,0,1,0,0,0,0
3,1,443,1,0,0,1,C,3,0.2,0.3,0.2,0,-0.0333333333333333,0,0,0,0,0,0
3,1,394,0,0,0,1,C,3,0.2,0.3,0.3,1,0.3,0,0,0,0,1,0
1,1,533,1,1,0,0,A,1,0.2,0.3,0.3,0,-0.366666666666667,0,0,0,0,0,0
1,1,378,1,1,0,0,A,1,0.3,0.2,0.3,1,-0.0333333333333333,0,0,0,0,0,0
1,1,427,1,1,0,0,A,1,0.4,0.1,0.3,1,0.0666666666666667,0,0,0,0,0,0
2,1,427,1,0,1,0,B,2,0.5,0.1,0.2,0,0.166666666666667,0,0,0,0,0,0
1,1,371,1,1,0,0,A,1,0.4,0.2,0.2,1,0.0666666666666667,0,0,0,0,0,0
3,1,458,1,0,0,1,C,3,0.5,0.1,0.2,0,0.166666666666667,0,0,0,0,0,0
3,1,513,1,0,0,1,C,3,0.4,0.1,0.3,0,0.0666666666666667,0,0,0,0,0,0
1,1,373,0,1,0,0,A,1,0.4,0.1,0.3,1,0.4,0,1,0,1,0,0
2,1,433,0,0,1,0,B,2,0.4,0.1,0.3,0,0.0666666666666667,1,0,0,0,0,0
3,1,541,0,0,0,1,C,3,0.4,0.1,0.2,0,0.0666666666666667,0,0,0,0,0,0
3,1,321,0,0,0,1,C,3,0.4,0.1,0.2,0,0.4,0,0,0,0,1,0
1,1,332,0,1,0,0,A,1,0.3,0.1,0.2,1,0.3,0,0,0,0,0,0
2,1,431,0,0,1,0,B,2,0.2,0.1,0.2,0,0.2,1,0,0,0,0,0
2,1,351,0,0,1,0,B,2,0.1,0.1,0.2,0,0.2,0,0,0,0,1,0
1,1,303,0,1,0,0,A,1,0.1,0,0.2,0,-0.133333333333333,0,0,0,0,0,0
3,1,378,0,0,0,1,C,3,0,0,0.2,1,0.2,0,0,0,0,0,0
2,1,1113,0,0,1,0,B,2,0,0,0.1,0,0.1,1,0,0,0,0,0
1,1,441,1,1,0,0,A,1,0,0,0,1,-0.333333333333333,0,0,0,0,0,0
3,1,473,0,0,0,1,C,3,0.1,0,0,0,0.1,0,1,1,0,0,0
1,1,474,0,1,0,0,A,1,0.1,0,0,1,0.1,0,0,0,0,0,0
3,1,487,1,0,0,1,C,3,0.1,0,0,0,-0.566666666666667,0,0,0,0,0,0
2,1,724,1,0,1,0,B,2,0.1,0,0.1,0,-0.233333333333333,0,0,0,0,0,0
1,1,637,0,1,0,0,A,1,0.1,0.1,0.1,1,0.1,0,1,0,0,0,0
1,1,456,0,1,0,0,A,1,0.1,0.1,0.1,1,-0.233333333333333,0,0,0,0,1,0
2,1,511,1,0,1,0,B,2,0.1,0.1,0.1,1,-0.233333333333333,0,0,0,0,0,0
1,1,403,0,1,0,0,A,1,0.1,0.2,0.1,0,0.2,0,1,1,0,0,0
3,1,375,1,0,0,1,C,3,0.1,0.2,0.1,0,-0.133333333333333,0,0,0,0,0,0
3,1,551,0,0,0,1,C,3,0.1,0.2,0.2,1,0.2,0,0,0,0,1,0
3,1,473,0,0,0,1,C,3,0,0.2,0.2,1,0.2,0,0,0,0,1,0
2,1,422,0,0,1,0,B,2,0,0.2,0.2,1,0.2,1,0,0,0,0,0
3,1,461,0,0,0,1,C,3,0,0.2,0.2,1,0.2,1,0,0,0,0,0
1,1,645,0,1,0,0,A,1,0,0.2,0.1,0,-0.133333333333333,1,0,0,0,0,0
2,1,525,0,0,1,0,B,2,0,0.1,0.1,1,0.1,0,0,0,0,0,0
1,1,448,0,1,0,0,A,1,0,0.1,0.1,0,0.1,1,0,0,0,0,0
2,1,462,0,0,1,0,B,2,0,0.1,0.1,1,0.1,0,0,0,0,0,0
3,1,525,0,0,0,1,C,3,0,0,0.1,1,0.1,1,0,0,0,0,0
3,1,504,1,0,0,1,C,3,0,0,0.1,1,-0.566666666666667,0,0,0,0,0,0
3,1,472,1,0,0,1,C,3,0,0,0.1,1,-0.566666666666667,0,0,0,0,0,0
3,1,455,1,0,0,1,C,3,0,0,0.2,1,-0.133333333333333,0,0,0,0,0,0
3,1,728,1,0,0,1,C,3,0,0,0.3,1,-0.0333333333333333,0,0,0,0,0,0
2,1,377,0,0,1,0,B,2,0,0,0.4,0,0.0666666666666667,0,1,1,0,0,0
2,1,510,1,0,1,0,B,2,0,0,0.4,0,0.0666666666666667,0,0,0,0,0,0
2,1,366,1,0,1,0,B,2,0,0.1,0.4,0,0.0666666666666667,0,0,0,0,0,0
2,1,377,1,0,1,0,B,2,0,0.2,0.4,0,0.0666666666666667,0,0,0,0,0,0
