id,dataset,model,evo_fname,obs_fname,F,LL,AIC,BIC,R2,alpha_win,alpha_loss,decay,beta,alpha_win_transformed,alpha_loss_transformed,decay_transformed,beta_transformed,alpha_win_ffx,alpha_loss_ffx,decay_ffx,beta_ffx,alpha_win_transformed_ffx,alpha_loss_transformed_ffx,decay_transformed_ffx,beta_transformed_ffx
66,specc,twolr_decay,f_bandit_Qlearn,g_bandit_softmax,-154.359993646263,-146.460161493674,-150.460161493674,-157.867726442986,0.593728081400477,-1.64135882035609,-3.44625426884931,-1.58635230395337,-1.681455541401,0.162280253136165,0.030880762551722,0.169897721962168,0.186102898331488,-1.65320862798151,-3.0073419272156,-1.22704435135692,-1.72657735931469,0.160675766424922,0.0470952902735084,0.226699152542456,0.177892230386398
67,specc,twolr_decay,f_bandit_Qlearn,g_bandit_softmax,-96.2800149887358,-90.4258436955708,-94.4258436955708,-101.833408644883,0.74579090249786,-0.478808204328594,-0.734778322646867,-1.32016641167096,-2.10288675832768,0.382533590123559,0.324147034861449,0.210790608823071,0.122103435885906,-0.131070350805949,-0.68283517587033,-0.81381715504589,-1.9856168390621,0.467279242639156,0.335628815087707,0.307077680516165,0.137295898518423
68,specc,twolr_decay,f_bandit_Qlearn,g_bandit_softmax,-304.381714066236,-298.696912528739,-302.696912528739,-310.104477478052,0.104322819871459,-1.74792135220035,-0.792118941623371,-1.02179044625385,-1.57341444371817,0.148309568823268,0.311713873119156,0.264678790534138,0.207336035151598,-1.31323320182286,-0.611991667678028,-0.707033175279237,-1.26131372952237,0.211946315979551,0.351605005870687,0.330254731445648,0.283281626501015
69,specc,twolr_decay,f_bandit_Qlearn,g_bandit_softmax,-131.099141484261,-124.481693146453,-128.481693146453,-135.889258095765,0.643354326432484,1.3471065515088,0.400087119239223,1.37890258894856,-1.85188027285506,0.793656181598572,0.598708591068448,0.798814692796967,0.15694179531406,1.32477020130523,0.213329214339225,0.412012788688641,-1.76929115184751,0.789974248351574,0.553130959841889,0.60157040927165,0.170453771853203
70,specc,twolr_decay,f_bandit_Qlearn,g_bandit_softmax,-148.887659769444,-141.88020334233,-145.88020334233,-153.287768291642,0.581642483709713,-0.500333218332745,1.55258440333168,3.32584980573663,-2.20744864881417,0.37746236469404,0.825286685935069,0.965305041821293,0.109980890741339,-0.0620184976270194,1.38268535056315,2.23119647910281,-1.95680041232615,0.484500343325577,0.799421932464616,0.903016193929985,0.141309831567247
71,specc,twolr_decay,f_bandit_Qlearn,g_bandit_softmax,-39.7132039543155,-34.9228867034219,-38.9228867034219,-46.3304516527343,0.896842402117985,-1.58723065650773,-4.06420409888818,-0.256658447444269,-2.28591907829108,0.169773881633436,0.0168866004305816,0.436185312647633,0.101680566746566,-1.31463390478032,-3.2596425194682,-0.43317777654788,-2.23538160751426,0.21171245785855,0.0369819395255255,0.393367763937488,0.106951308641731
72,specc,twolr_decay,f_bandit_Qlearn,g_bandit_softmax,-65.8551347560469,-62.2682152528879,-66.2682152528879,-73.6757802022003,0.813424451262614,0.290272629215439,0.188606062017808,-1.02292423064553,-3.24203724743608,0.572062875622753,0.547012237055645,0.264458187843794,0.039084189771414,0.635988995901102,-0.2694253969073,-0.735697517247132,-2.48841603743893,0.653846205409331,0.433048164824602,0.32394569418913,0.0830413969210618
74,specc,twolr_decay,f_bandit_Qlearn,g_bandit_softmax,-227.575349061816,-219.62287021929,-223.62287021929,-231.030435168602,0.387040028909539,-0.500285503762429,-4.76548256535218,0.92722394095501,-1.07144369749736,0.37747357694535,0.00844682079798156,0.716511743627554,0.342513674168465,-0.334238574144005,-3.63716032467073,0.811238632429906,-1.08280087242413,0.417209671754947,0.0256516676161648,0.692373386154383,0.338645692703193
77,specc,twolr_decay,f_bandit_Qlearn,g_bandit_softmax,-146.9526860489,-139.979752363454,-143.979752363454,-151.387317312767,0.607610639244922,-0.862007642328758,-1.58800499404527,-0.860862447675836,-1.67850179299112,0.296920062776234,0.169664766114713,0.297159187524459,0.186653412110856,-0.80566095094279,-1.43129332178561,-0.704557824746742,-1.66952592349862,0.30881589106488,0.192897250315386,0.330802475544157,0.188336330306489
8,specc,twolr_decay,f_bandit_Qlearn,g_bandit_softmax,-116.431753338785,-108.818379013951,-112.818379013951,-120.225943963264,0.708211956231251,0.252356070773234,-1.9077510958126,1.59352388471987,-1.54398488772758,0.562756324870969,0.129233716440129,0.831111310833315,0.213528516662366,0.25728990638589,-1.77180201170274,1.2697440683602,-1.55068337557852,0.5639699743255,0.14531837501318,0.780698932926569,0.212102978293686
80,specc,twolr_decay,f_bandit_Qlearn,g_bandit_softmax,-238.567161392527,-231.151729519182,-235.151729519182,-242.559294468494,0.338990072324511,-0.264744642890287,0.353436766765983,3.38907101074321,-1.17285503234583,0.434197729778457,0.58745073689222,0.967361225062184,0.309482097339156,-0.120518186747953,0.332308586353878,2.50651814358109,-1.12401930607393,0.469906868866796,0.582320985047035,0.924597503812463,0.32497100823119
81,specc,twolr_decay,f_bandit_Qlearn,g_bandit_softmax,-317.917709625029,-312.815260058047,-316.815260058047,-324.222825007359,0.0576303710923732,-1.4371853744461,1.95023518406044,-0.509243931346655,-1.23432825391118,0.191981588514886,0.875472283224759,0.375370782640702,0.291030195115208,-0.898557293536648,1.24057359342005,-0.393077668953418,-0.820570215635964,0.289347064623103,0.775663840173243,0.40297663481593,0.440180585078686
83,specc,twolr_decay,f_bandit_Qlearn,g_bandit_softmax,-225.111910276041,-217.673776757479,-221.673776757479,-229.081341706791,0.376139994602284,-0.36924800181941,0.475595746108295,2.47266701768557,-1.4429600554965,0.408722743511811,0.616707336181708,0.922203323071734,0.236227476316412,-0.184298083780788,0.433999927515451,1.82368847152539,-1.36956382453572,0.454055450806593,0.606828408381806,0.861008125310225,0.254217818949178
84,specc,twolr_decay,f_bandit_Qlearn,g_bandit_softmax,-237.311694903728,-230.354444987897,-234.354444987897,-241.762009937209,0.333875036817671,-0.277543365023095,0.186554640085012,1.6623991813074,-1.26718786713585,0.431056155605729,0.546503866674614,0.840559801082255,0.281622469073935,-0.136649728271297,0.228816103585906,1.39121061650307,-1.23046952803478,0.465890628934305,0.556955740620742,0.800785440249415,0.29215537033515
